"sentence","index","indexS","start_time","end_time","transcript","highlightP","highlightA"
"Ses01M_impro01_F000",0,0,67,106,"Next. My window is open.",0,0
"Ses01M_impro01_M000",1,0,82,168,"Yes, me. Okay, okay here we go. Okay, so filled out all these forms  – and I have This form of ID here so…",0,0
"Ses01M_impro01_F002",2,1,144,182,"This is... Your last- Your first name is Jones?",0,0
"Ses01M_impro01_M003",3,1,176,201,"Yes, Jones.",0,0
"Ses01M_impro01_F003",4,2,194,264,"That's just strange I figured you filled in wrong sections. What are you... what's...What are you applying for?",1,0
"Ses01M_impro01_M005",5,2,259,290,"I'm just applying for another ID.",0,0
"Ses01M_impro01_F005",6,3,284,309,"Another ID?",1,0
"Ses01M_impro01_M006",7,3,293,402,"Yes.  I'm supposed to have three forms of ID for this.  It's a long story, I'm supposed to have three forms of ID for this other job I really don't get into but I need another… I have it right here, yes.",1,1
"Ses01M_impro01_F006",8,4,361,386,"Fine.  So I need ID.",1,0
"Ses01M_impro01_F007",9,5,398,433,"No, I need your ID to give you a second ID.",0,1
"Ses01M_impro01_F008",10,6,433,470,"It's really simple if you have a problem with it... Maybe you should--",0,0
"Ses01M_impro01_M008",11,4,460,524,"But that's… That's why I'm here, that's why I was waiting in this line.  I need to get another form of ID.",0,0
"Ses01M_impro01_F009",12,7,523,551,"Well, do you have your passport?",1,1
"Ses01M_impro01_M010",13,5,544,567,"No, I don't have a passport.",0,1
"Ses01M_impro01_F010",14,8,561,581,"You have a birth certificate?",0,0
"Ses01M_impro01_M011",15,6,577,622,"I don't where it is though, I don't have with me.  Can I get it from somewhere?  I mean...",0,1
"Ses01M_impro01_F011",16,9,610,632,"What do you expect me to do?",1,1
"Ses01M_impro01_M012",17,7,627,660,"I probably have to go wait another line to get my birth certificate don't I?",0,0
"Ses01M_impro01_F012",18,10,655,674,"Probably.",0,1
"Ses01M_impro01_M013",19,8,668,716,"You're very helpful.  What's your name? Hi, Joy.",1,1
"Ses01M_impro01_F013",20,11,694,744,"Joy. Hi. You know…",1,0
"Ses01M_impro01_M015",21,9,731,750,"So can you help me or not?",1,1
"Ses01M_impro01_F015",22,12,746,806,"I am..I don't..I don't understand what you want.  A driver's license or a California ID.",1,1
"Ses01M_impro01_M016",23,10,801,920,"Okay. [BREATHING] I need California ID. On top of these other two forms of ID which I already have.",0,0
"Ses01M_impro01_F016",24,13,863,878,"Okay.",1,1
"Ses01M_impro01_F017",25,14,912,945,"What... well, do you have a driver's license?",0,0
"Ses01M_impro01_M019",26,11,938,967,"No, I don't have driver's license.",0,0
"Ses01M_impro01_F018",27,15,952,982,"Then how am I supposed to give you a California ID?",0,0
"Ses01M_impro01_M020",28,12,969,1005,"Did you even look at the form?  I filled it out all these questions--",1,1
"Ses01M_impro01_F019",29,16,984,1020,"Don't raise your voice with me.",1,1
"Ses01M_impro01_M021",30,13,1021,1075,"Did you even look at the form?  I've already answered these question.",0,1
"Ses01M_impro01_F020",31,17,1057,1090,"Don't talk to me like I'm a child.",0,0
"Ses01M_impro01_M022",32,14,1091,1132,"Okay. If it makes you stop acting like a child.",1,1
"Ses01M_impro01_F021",33,18,1091,1141,"Do you know how long I've been working here? How long have you lived in California?",0,0
"Ses01M_impro01_M024",34,15,1135,1161,"I have been to California my whole--",0,1
"Ses01M_impro01_F022",35,19,1141,1248,"Maybe you never been to the D.M.V. before, maybe you should get back in line.  You know what?  sit in line again and if you get my number ask for different one.",0,0
"Ses01M_impro01_M025",36,16,1188,1221,"I am not...I'm not getting to back that line.",1,1
"Ses01M_impro01_M026",37,17,1239,1341,"Okay, okay let's keep our voices down, okay?  I didn't come here to get in yelling match. I did not come in here to get in a yelling match with you, all right?",1,1
"Ses01M_impro01_F023",38,20,1291,1310,"I'm perfectly calm.",1,1
"Ses01M_impro01_F024",39,21,1328,1366,"Uh huh.  I didn't come here get in yelling match either.",0,0
"Ses01M_impro01_M028",40,18,1361,1385,"Just try and help me.",0,0
"Ses01M_impro01_F025",41,22,1370,1404,"They don't pay me enough to deal people like you.",0,0
"Ses01M_impro01_M029",42,19,1399,1479,"People like me, what is that supposed to mean?  You know, this is ridiculous.  Is there like a manager here, is there someone else that I can talk to?",1,1
"Ses01M_impro01_F026",43,23,1466,1496,"Why? Yeah.",0,0
"Ses01M_impro01_M030",44,20,1480,1518,"Why? Why, because I'm sick of talking to you.",1,0
"Ses01M_impro01_F028",45,24,1561,1605,"So you're not going to send me a thank you card, is that a problem? Is your are not going...",1,0
"Ses01M_impro01_M032",46,21,1518,1573,"'Cause you're obviously not talking to me, you're just yelling at me, berating me and telling me I can't fill out forms right.",0,0
"Ses01M_impro01_M033",48,22,1586,1636,"Oh, no honey. And you're going to miss the Christmas card too. It's a shame. It's going to be a good, nice picture.",0,0
"Ses01M_impro01_F029",47,25,1607,1672,"Oh, dear. Oh, boo-foo-woo, foo-foo. Sit back down.",0,0
